step,cut_edges,max_dev_pct
0,295,16.869
1,280,16.869
2,289,9.558
3,318,9.558
4,309,12.221
5,281,12.796
6,281,16.514
7,263,13.808
8,256,18.322
9,264,18.322
10,272,15.431
11,274,13.806
12,268,12.796
13,272,11.868
14,277,14.048
15,278,16.926
16,290,16.926
17,289,16.926
18,300,16.926
19,308,16.926
20,304,16.926
21,283,16.054
22,268,16.283
23,278,16.054
24,273,16.224
25,267,16.281
26,269,16.786
27,261,16.786
28,264,16.786
29,264,17.823
30,241,17.823
31,266,17.823
32,266,17.823
33,250,16.281
34,227,16.281
35,217,16.281
36,215,16.281
37,218,16.281
38,219,16.281
39,231,17.808
40,226,17.808
41,238,17.808
42,265,18.501
43,268,18.501
44,286,18.501
45,303,18.501
46,305,18.501
47,284,18.232
48,275,18.232
49,261,18.232
50,264,15.674
51,263,15.674
52,262,15.674
53,263,15.674
54,271,16.95
55,264,15.674
56,259,15.674
57,272,15.674
58,281,15.674
59,282,16.038
60,281,18.029
61,271,18.029
62,271,17.507
63,275,17.507
64,281,17.507
65,279,17.507
66,279,13.22
67,278,18.475
68,291,16.579
69,282,13.594
70,271,17.566
71,269,15.73
72,256,16.855
73,257,15.73
74,259,15.73
75,260,18.486
76,262,18.486
77,262,18.486
78,269,18.486
79,288,18.486
80,273,18.486
81,276,18.486
82,276,18.486
83,273,18.589
84,257,18.589
85,255,18.589
86,284,18.589
87,285,18.589
88,289,18.589
89,295,18.589
90,287,18.589
91,293,18.589
92,289,18.589
93,301,18.589
94,301,18.589
95,305,18.523
96,293,18.523
97,299,18.523
98,310,18.523
99,295,18.523
100,280,18.523
101,280,18.681
102,293,18.741
103,289,18.741
104,291,18.741
105,314,18.741
106,301,17.545
107,298,18.239
108,293,18.239
109,293,18.239
110,305,17.64
111,292,17.64
112,278,17.64
113,269,17.64
114,257,18.559
115,273,17.64
116,263,17.64
117,254,17.64
118,249,18.152
119,243,18.152
120,236,18.152
121,249,11.734
122,247,11.235
123,244,12.643
124,238,12.643
125,241,14.092
126,239,12.643
127,239,18.732
128,241,18.732
129,232,18.732
130,237,18.732
131,239,18.732
132,241,18.732
133,247,18.732
134,232,18.732
135,234,18.492
136,235,18.492
137,238,15.103
138,238,16.077
139,236,16.077
140,226,11.913
141,230,16.044
142,230,16.044
143,241,16.044
144,257,16.044
145,254,16.044
146,257,15.823
147,248,15.011
148,250,15.011
149,251,15.011
150,247,17.405
151,240,18.696
152,256,17.184
153,236,17.758
154,236,13.432
155,224,14.203
156,248,17.096
157,226,15.94
158,250,15.94
159,236,13.432
160,231,13.432
161,245,13.432
162,250,14.236
163,286,17.01
164,284,14.236
165,277,17.707
166,252,18.755
167,257,18.755
168,247,17.707
169,261,14.932
170,257,15.694
171,259,14.932
172,277,16.493
173,265,14.932
174,265,15.862
175,265,18.63
176,243,15.868
177,252,18.254
178,241,18.254
179,229,15.868
180,236,18.474
181,230,18.474
182,241,17.778
183,250,17.778
184,252,17.778
185,261,17.778
186,250,17.778
187,239,17.425
188,245,15.967
189,234,15.967
190,240,16.218
191,241,16.218
192,237,16.218
193,230,16.218
194,227,16.218
195,223,16.182
196,225,17.429
197,228,17.429
198,259,16.182
199,260,14.517
200,256,12.651
201,220,12.651
202,227,12.651
203,253,6.243
204,248,15.165
205,243,15.165
206,244,15.165
207,247,6.87
208,256,6.766
209,255,6.766
210,244,6.766
211,243,14.529
212,243,14.529
213,241,14.529
214,248,14.529
215,249,17.641
216,250,17.641
217,253,13.56
218,250,13.56
219,272,13.56
220,250,13.56
221,244,13.56
222,243,17.428
223,249,17.428
224,259,18.017
225,254,18.017
226,255,18.017
227,254,17.441
228,257,17.428
229,259,17.428
230,264,17.428
231,271,17.428
232,286,18.251
233,289,18.869
234,296,18.869
235,277,18.869
236,277,18.869
237,280,18.869
238,266,14.63
239,257,16.813
240,250,16.813
241,251,16.813
242,248,16.813
243,265,16.537
244,269,16.537
245,269,18.424
246,279,16.537
247,276,16.537
248,270,16.537
249,247,16.537
250,231,17.306
251,246,16.537
252,251,16.537
253,233,16.537
254,241,16.537
255,236,16.537
256,227,17.142
257,225,17.142
258,226,17.142
259,220,17.142
260,232,17.142
261,225,17.142
262,228,16.945
263,229,16.945
264,235,16.945
265,220,16.197
266,226,16.197
267,226,16.197
268,226,16.197
269,219,16.197
270,213,16.197
271,253,16.197
272,208,16.586
273,215,16.056
274,215,16.056
275,219,16.056
276,210,17.256
277,228,16.056
278,239,15.866
279,219,16.425
280,233,16.678
281,231,16.678
282,234,16.678
283,224,16.678
284,226,16.678
285,220,15.612
286,221,15.612
287,230,15.612
288,267,15.612
289,246,18.341
290,242,18.341
291,242,18.341
292,239,18.341
293,233,17.751
294,231,17.996
295,236,17.996
296,235,17.996
297,252,17.996
298,255,17.996
299,268,17.996
300,269,17.996
301,270,17.996
302,267,18.845
303,273,17.996
304,273,17.996
305,256,17.996
306,256,17.996
307,251,17.996
308,260,17.996
309,280,17.996
310,267,18.374
311,265,18.374
312,255,18.374
313,270,18.374
314,261,18.374
315,272,18.374
316,260,18.474
317,245,18.374
318,243,18.374
319,243,18.374
320,246,18.374
321,251,18.374
322,247,18.374
323,261,18.374
324,257,18.374
325,259,18.374
326,276,17.996
327,266,18.502
328,260,18.502
329,260,18.502
330,257,18.502
331,259,18.263
332,255,18.263
333,248,14.607
334,248,16.036
335,235,16.658
336,236,16.472
337,240,16.472
338,243,16.472
339,249,16.472
340,244,16.472
341,242,16.472
342,241,16.472
343,249,16.472
344,245,16.472
345,253,16.472
346,263,15.829
347,268,18.532
348,281,18.218
349,278,17.757
350,282,17.757
351,271,16.448
352,270,16.448
353,276,15.829
354,267,17.383
355,269,15.829
356,261,15.829
357,264,15.829
358,266,15.829
359,270,15.829
360,261,15.829
361,261,15.829
362,260,15.829
363,259,15.829
364,258,15.829
365,255,13.357
366,273,13.357
367,270,13.357
368,285,13.357
369,265,16.691
370,286,18.564
371,290,18.564
372,267,18.564
373,287,18.564
374,288,18.564
375,299,18.564
376,285,17.096
377,264,17.096
378,261,17.096
379,256,18.182
380,265,18.182
381,260,18.828
382,278,18.828
383,279,18.828
384,265,18.828
385,253,18.828
386,259,18.828
387,234,18.828
388,254,18.828
389,260,16.43
390,256,16.43
391,244,14.583
392,246,14.583
393,248,14.583
394,242,16.818
395,237,16.818
396,256,14.583
397,259,17.489
398,259,17.489
399,277,14.583
400,272,14.583
401,266,14.885
402,265,15.895
403,238,14.885
404,238,14.885
405,258,17.781
406,255,17.781
407,248,17.781
408,243,17.781
409,248,17.781
410,247,17.781
411,255,17.781
412,240,12.179
413,247,12.179
414,234,12.179
415,225,14.783
416,216,16.099
417,232,14.783
418,229,13.267
419,225,17.67
420,242,11.408
421,232,11.408
422,231,11.408
423,235,11.408
424,232,11.408
425,237,12.093
426,238,16.065
427,227,16.065
428,225,12.093
429,237,18.038
430,244,18.038
431,244,18.038
432,251,18.038
433,263,18.038
434,279,18.038
435,273,18.038
436,273,18.038
437,273,18.038
438,260,18.038
439,262,18.038
440,263,18.791
441,257,18.791
442,257,18.791
443,264,15.25
444,280,15.25
445,282,15.25
446,283,18.125
447,301,18.125
448,291,18.125
449,291,18.125
450,280,18.125
451,280,18.125
452,277,18.265
453,267,18.125
454,272,14.556
455,271,14.556
456,270,14.556
457,270,18.063
458,277,18.063
459,273,18.063
460,267,18.063
461,270,18.063
462,269,18.063
463,255,17.8
464,267,17.8
465,265,14.763
466,268,14.58
467,255,15.991
468,257,15.991
469,256,15.991
470,260,15.991
471,259,15.991
472,259,18.424
473,259,18.424
474,259,18.424
475,265,17.184
476,270,16.987
477,287,16.987
478,283,18.507
479,282,16.987
480,282,16.987
481,271,18.57
482,297,18.57
483,276,18.57
484,270,18.57
485,269,18.57
486,257,18.57
487,242,18.57
488,248,18.57
489,257,18.57
490,258,18.57
491,253,18.57
492,271,18.57
493,277,18.57
494,273,18.57
495,277,18.57
496,245,18.57
497,246,18.442
498,245,18.442
499,242,18.442
500,261,18.442
501,244,18.442
502,232,18.442
503,246,15.584
504,249,15.584
505,260,15.584
506,261,15.584
507,259,15.226
508,248,15.226
509,254,15.226
510,259,15.226
511,255,16.027
512,261,16.027
513,266,15.417
514,266,15.417
515,263,15.417
516,279,17.482
517,286,18.74
518,272,16.147
519,263,16.147
520,289,17.324
521,278,17.324
522,301,17.324
523,263,16.147
524,264,16.147
525,262,16.147
526,277,16.147
527,269,16.147
528,274,16.147
529,285,16.147
530,294,17.052
531,288,16.147
532,287,16.147
533,279,16.147
534,279,16.147
535,267,16.147
536,242,16.147
537,233,16.174
538,226,16.174
539,223,16.174
540,226,16.174
541,226,15.337
542,235,15.337
543,241,15.337
544,249,15.337
545,235,15.337
546,230,15.337
547,223,15.337
548,226,13.564
549,223,15.979
550,262,15.979
551,262,15.979
552,259,15.979
553,264,15.979
554,244,15.979
555,224,11.534
556,222,18.374
557,213,17.761
558,211,17.761
559,211,17.761
560,229,17.494
561,248,17.494
562,242,17.494
563,255,17.494
564,256,16.027
565,261,16.027
566,260,16.027
567,253,16.027
568,250,16.027
569,249,18.848
570,252,18.848
571,252,18.848
572,238,13.112
573,235,14.559
574,223,13.477
575,229,14.18
576,220,13.477
577,228,13.477
578,216,16.143
579,217,17.336
580,219,17.336
581,221,17.336
582,220,17.336
583,231,17.336
584,244,17.336
585,248,14.978
586,238,14.996
587,250,17.54
588,256,17.54
589,255,17.54
590,256,17.54
591,240,14.591
592,245,17.782
593,250,17.782
594,268,16.831
595,272,16.831
596,278,16.831
597,247,10.948
598,246,13.34
599,254,16.664
600,285,16.664
601,276,16.664
602,271,16.664
603,271,16.027
604,268,15.459
605,242,15.211
606,239,15.211
607,248,17.482
608,244,17.482
609,240,14.745
610,246,15.57
611,242,18.391
612,270,15.57
613,270,15.57
614,263,14.281
615,266,14.281
616,272,14.281
617,269,14.275
618,287,14.275
619,263,14.275
620,255,18.556
621,251,13.97
622,229,16.577
623,246,16.577
624,251,15.845
625,248,18.244
626,245,18.244
627,253,18.244
628,269,18.364
629,267,18.8
630,261,18.08
631,248,18.08
632,252,18.08
633,256,15.698
634,252,18.149
635,253,17.818
636,250,18.044
637,284,17.818
638,276,17.818
639,254,17.818
640,271,17.818
641,272,17.818
642,273,14.654
643,279,18.534
644,276,18.534
645,274,18.534
646,274,18.534
647,273,18.534
648,270,18.534
649,263,17.868
650,284,17.868
651,277,17.868
652,271,16.646
653,272,16.362
654,270,16.362
655,274,16.362
656,260,16.362
657,266,16.362
658,265,16.362
659,265,16.362
660,264,14.021
661,268,16.627
662,270,16.185
663,271,14.021
664,264,15.539
665,268,14.021
666,255,14.021
667,254,18.768
