step,cut_edges,max_dev_pct
0,264,6.407
1,263,7.803
2,263,6.407
3,271,7.568
4,263,7.568
5,263,7.568
6,265,7.568
7,266,7.612
8,270,7.612
9,271,7.612
10,274,8.365
11,269,8.365
12,259,8.365
13,256,7.612
14,256,7.568
15,237,7.568
16,237,7.568
17,248,7.568
18,226,7.528
19,226,7.528
20,227,7.528
21,230,8.378
22,228,8.378
23,242,8.378
24,233,8.378
25,253,8.378
26,251,7.55
27,249,7.528
28,253,7.528
29,249,7.528
30,245,7.528
31,241,8.33
32,244,8.359
33,264,8.359
34,253,8.359
35,234,8.359
36,244,8.359
37,244,8.359
38,251,8.048
39,249,8.048
40,232,6.955
41,254,8.025
42,257,8.025
43,256,8.025
44,236,6.955
45,241,6.955
46,249,6.955
47,254,7.526
48,242,7.526
49,241,7.982
50,241,7.982
51,252,8.251
52,239,8.251
53,249,8.251
54,250,8.251
55,241,8.251
56,242,8.251
57,240,8.251
58,227,8.251
59,228,8.251
60,230,8.251
61,241,8.251
62,240,8.251
63,241,7.6
64,263,7.6
65,265,7.6
66,261,7.262
67,256,7.262
68,257,7.262
69,285,7.262
70,247,7.262
71,245,7.262
72,278,7.262
73,275,7.262
74,281,8.022
75,282,8.022
76,238,8.022
77,229,8.022
78,228,8.022
79,229,8.022
80,225,8.022
81,228,8.022
82,239,8.022
83,231,8.022
84,236,8.022
85,238,8.022
86,222,8.022
87,248,8.022
88,248,6.512
89,247,6.512
90,231,6.512
91,229,7.585
92,231,7.585
93,245,6.674
94,251,6.674
95,290,6.674
96,273,6.674
97,220,6.674
98,245,8.177
99,221,6.674
100,216,6.674
101,205,8.033
102,203,8.033
103,214,6.864
104,230,6.674
105,237,6.674
106,217,6.674
107,214,6.674
108,219,7.205
109,219,7.205
110,239,7.696
111,242,6.168
112,242,6.168
113,240,6.168
114,253,6.168
115,252,6.168
116,264,6.598
117,268,8.147
118,269,8.147
119,272,7.229
120,262,7.229
121,256,7.229
122,286,7.489
123,286,7.489
124,290,6.395
125,284,6.897
126,282,6.897
127,287,6.897
128,283,6.897
129,284,6.897
130,284,6.897
131,281,8.212
132,268,8.111
133,260,6.999
134,263,7.364
135,270,8.144
136,267,6.079
137,267,6.079
138,263,6.079
139,257,6.079
140,270,6.105
141,270,6.105
142,258,8.057
143,259,8.057
144,261,8.057
145,264,8.057
146,280,7.328
147,277,7.328
148,272,7.328
149,265,7.328
150,271,7.621
151,277,7.621
152,279,7.621
153,279,7.621
154,295,7.514
155,281,7.181
156,287,7.181
157,270,7.181
158,269,7.181
159,268,7.131
160,289,7.472
161,289,7.472
162,270,7.472
163,270,5.024
164,275,8.351
165,259,8.351
166,270,8.351
167,277,7.179
168,274,7.179
169,275,6.742
170,269,6.742
171,276,6.742
172,276,6.742
173,274,6.742
174,269,6.742
175,266,6.539
176,239,7.843
177,248,7.843
178,242,8.066
179,249,8.066
180,243,8.066
181,263,6.539
182,266,6.539
183,251,6.539
184,251,6.539
185,250,5.87
186,253,5.87
187,253,5.642
188,250,5.642
189,266,5.642
190,257,5.642
191,250,6.946
192,250,6.946
193,254,6.946
194,284,6.946
195,282,7.505
196,291,6.479
197,303,6.479
198,304,6.479
199,290,6.479
200,266,6.479
201,265,5.81
202,270,5.81
203,265,7.621
204,255,7.621
205,250,7.941
206,257,7.941
207,256,7.914
208,259,7.914
209,254,7.914
210,285,8.374
211,280,7.914
212,277,7.914
213,276,7.723
214,276,7.723
215,278,8.389
216,281,8.389
217,285,7.837
218,301,8.159
219,301,8.159
220,278,8.159
221,272,8.159
222,273,8.159
223,283,8.115
224,290,8.115
225,298,8.115
226,289,8.115
227,291,8.115
228,290,6.961
229,285,5.421
230,286,5.421
231,279,7.155
232,275,7.155
233,277,7.155
234,266,7.475
235,267,7.475
236,274,7.475
237,275,7.475
238,272,7.475
239,272,7.475
240,274,7.475
241,269,7.475
242,269,7.475
243,260,7.992
244,255,7.992
245,248,8.287
246,243,8.287
247,231,8.287
248,241,7.992
249,243,7.992
250,250,7.992
251,245,7.992
252,246,7.992
253,240,7.992
254,240,7.992
255,243,7.992
256,233,7.992
257,244,7.992
258,241,7.992
259,247,8.311
260,258,8.311
261,246,7.992
262,246,7.992
263,235,7.992
264,237,7.789
265,261,7.789
266,268,7.789
267,273,7.789
268,274,7.789
269,286,7.789
270,271,7.789
271,274,7.789
272,281,7.789
273,281,7.992
274,308,7.992
275,311,5.87
276,302,5.87
277,307,5.87
278,278,5.87
279,276,5.87
280,284,6.03
281,288,7.006
282,298,7.006
283,297,6.503
284,299,6.673
285,293,7.421
286,289,8.171
287,284,8.171
288,286,8.171
289,271,8.171
290,272,8.171
291,268,8.171
292,279,8.171
293,286,8.171
294,298,8.171
295,272,8.171
296,274,7.501
297,273,7.501
298,271,7.501
299,263,8.081
300,276,7.501
301,259,7.501
302,264,8.212
303,269,8.212
304,273,7.674
305,274,8.405
306,266,8.405
307,264,8.405
308,263,8.405
309,265,8.405
310,254,8.405
311,251,8.405
312,238,8.405
313,240,8.405
314,254,8.405
315,258,8.405
316,256,8.405
317,249,8.405
318,250,8.405
319,261,8.405
320,256,8.405
321,250,8.405
322,242,8.405
323,242,8.405
324,250,8.405
325,259,8.405
326,259,8.405
327,268,8.405
328,265,8.405
329,257,8.405
330,254,7.932
331,253,7.932
332,271,7.932
333,275,7.905
334,274,7.905
335,274,7.752
336,268,7.845
337,259,7.845
338,254,7.845
339,256,7.845
340,250,7.115
341,247,7.115
342,238,8.132
343,230,8.132
344,215,8.132
345,221,8.132
346,228,8.132
347,230,7.232
348,236,7.139
349,235,7.139
